"orf_name","hours","es","p"
"BFC643",11,-0.27466687634506937,0.003289473684210526
"BFC985",10,-0.4943980875169425,0.003289473684210526
"BFC405",8,-0.6270291519057489,0.003289473684210526
"BFC1093",0,-0.8433895403594709,0.003289473684210526
"BFC923",14,-0.16846688856360648,0.003289473684210526
"BFC210",11,-0.3730159501980116,0.003289473684210526
"BFC694",13,-0.19711189746371616,0.003289473684210526
"BFC590",8,-0.6299426383989686,0.003289473684210526
"BFC1005",13,-0.1727403315152105,0.003289473684210526
"BFC1003",9,-0.45696333685739965,0.003289473684210526
"BFC721",10,-0.4407655483703562,0.003289473684210526
"BFC140",8,-0.5527240977015337,0.003289473684210526
"BFC661",14,-0.11924541051235593,0.003289473684210526
"BFC434",10,-0.5139745122133499,0.003289473684210526
"BFC854",9,-0.510569518364073,0.003289473684210526
"BFC978",0,-0.8261794701667183,0.003289473684210526
"BFC429",14,-0.16159604220010826,0.003289473684210526
"BFC489",10,-0.45240068596414085,0.003289473684210526
"BFC938",11,-0.3810629081073934,0.003289473684210526
"BFC172",10,-0.40008531757365373,0.003289473684210526
"BFC357",0,-0.9173394561004707,0.003289473684210526
"BFC885",8,-0.5800170592839649,0.003289473684210526
"BFC261",13,-0.16046164632181503,0.003289473684210526
"BFC592",9,-0.48628848268406477,0.003289473684210526
"BFC71",0,-0.9121838006547109,0.003289473684210526
"BFC26",9,-0.5532047650381031,0.003289473684210526
"BFC676",11,-0.3043608972266394,0.003289473684210526
"BFC438",8,-0.5909160502601384,0.003289473684210526
"BFC116",0,-0.8878395329050435,0.003289473684210526
"BFC243",11,-0.31979172642120457,0.003289473684210526
"BFC727",13,-0.2578974917221242,0.003289473684210526
"BFC623",8,-0.6055514452964044,0.003289473684210526
"BFC1038",13,-0.19651182725493632,0.003289473684210526
"BFC27",9,-0.5549745407687668,0.003289473684210526
"BFC688",11,-0.38637924910808075,0.003289473684210526
"BFC45",8,-0.6458142025594662,0.003289473684210526
"BFC129",0,-0.9342618229184023,0.003289473684210526
"BFC97",14,-0.18024403644397946,0.003289473684210526
"BFC253",11,-0.37201025492220485,0.003289473684210526
"BFC739",13,-0.22134127306696172,0.003289473684210526
"BFC634",8,-0.582826892819095,0.003289473684210526
"BFC105",13,-0.19562238811744437,0.003289473684210526
"BFC1048",9,-0.5762774450942394,0.003289473684210526
"BFC796",10,-0.5016060480050397,0.003289473684210526
"BFC188",8,-0.5555999903011961,0.003289473684210526
"BFC706",14,-0.13944160019332974,0.003289473684210526
"BFC103",11,-0.31674866188063755,0.003289473684210526
"BFC480",10,-0.4796489724846563,0.003289473684210526
"BFC506",13,-0.2354636853405937,0.003289473684210526
"BFC899",9,-0.42486330325468114,0.003289473684210526
